,Depot,test1,test2,test3,test4,test5,test6,test7,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30,test31,test32,test33,test34,test35
Depot,0.0,3394.2,6440.2,3547.2,7068.5,5760.2,12038.9,8877.9,3921.5,3062.1,20756.3,9549.8,13108.5,18317.8,14255.7,14919.9,13918.1,14095.8,9949.5,12998.7,9630.4,3773.1,16977.2,5051.8,21192.7,1721.9,10244.1,12339.9,10351.9,9471.7,11553.6,1925.0,10181.6,13806.2,11289.5
test1,3870.9,0.0,8560.7,2918.2,4891.4,7363.6,5749.3,11748.0,5927.7,3967.8,19148.9,6440.7,9495.2,18120.1,17347.1,17253.4,13720.4,10482.5,8109.2,13416.1,12145.7,5893.6,15369.8,2796.4,21610.1,2766.8,12920.4,9365.9,6223.9,8474.8,9376.5,5095.1,6053.6,13103.4,13804.8
test2,5599.3,6931.1,0.0,5562.4,7476.5,11568.1,14832.2,12875.0,8459.3,7059.2,17415.8,12071.1,15901.8,15144.0,8695.9,18307.9,10744.3,16889.1,9075.7,20188.2,14203.9,2027.6,14337.5,8588.7,28382.2,5719.0,4684.3,11709.7,13429.2,8835.5,13255.2,4220.9,13294.2,10252.5,15863.0
test3,4520.7,3398.6,4548.9,0.0,3949.3,11207.3,10736.2,14897.6,8208.4,5948.3,16859.1,8399.4,12436.3,14673.4,12424.0,20403.0,10273.7,13423.6,6052.3,16565.7,15295.3,4256.3,13080.0,8619.2,24759.7,4608.1,8412.4,8442.7,9648.2,5574.5,9136.2,3639.7,9829.9,10161.8,16954.4
test4,7216.3,4670.9,7816.2,6263.6,0.0,12445.2,9728.5,13684.1,10542.2,8643.9,9991.5,4964.4,10278.9,16802.8,14212.8,21622.8,12403.1,11266.2,3388.7,15817.9,14862.2,7188.4,12255.9,7467.3,22222.6,7303.7,10677.5,5779.1,7759.6,2910.9,6472.6,7527.4,7624.6,8872.2,16641.7
test5,5801.6,9058.2,11522.8,9221.1,11765.5,0.0,6557.5,3786.4,5757.8,4212.1,26489.1,12036.1,13652.8,24768.1,18883.8,10134.5,20368.4,13212.3,18608.2,7641.1,3965.6,9558.0,22710.0,5634.5,17179.3,5847.5,14872.2,16240.0,10381.5,15482.7,16250.6,7667.3,7517.7,19751.4,5745.1
test6,9742.0,6413.4,15234.4,8789.3,9115.5,6393.6,0.0,5638.2,11207.1,6897.5,27443.2,7568.2,7134.4,23624.0,21656.7,15581.1,19224.3,6030.6,13176.7,7894.1,6816.3,11764.7,19077.1,4706.7,14298.8,8055.0,17498.7,15567.1,5823.2,12698.9,13394.1,10966.2,2537.4,18422.5,8595.8
test7,9001.2,13213.1,14164.4,11148.3,14263.2,3924.3,5936.4,0.0,8399.4,6646.9,32590.9,14175.1,11911.1,27448.7,22961.8,9250.8,23049.0,10675.1,18324.4,5167.9,3081.9,12757.6,24224.8,7094.6,10661.7,7804.4,17513.8,20714.8,12168.6,17846.6,18931.2,10866.9,8835.9,22432.0,4050.1
test9,3277.6,6264.3,7586.1,6841.7,10490.4,5436.0,12631.3,10011.1,0.0,3372.9,23400.2,12419.9,13795.5,20934.4,15301.6,11562.7,16534.7,13459.9,12593.4,12271.7,7058.1,6389.7,19621.1,5893.6,17765.5,4014.8,10935.5,14983.8,10524.2,12115.6,14423.7,4492.0,9966.7,17006.7,8770.4
test10,2660.5,4854.7,9159.1,5017.6,8529.0,3994.9,6333.9,6077.0,3394.1,0.0,24727.2,11010.3,11890.9,19579.7,16520.1,13699.0,15180.0,10110.5,11094.0,10197.8,7701.7,6086.4,20948.1,2544.2,18391.8,2576.8,12508.5,13484.4,8619.6,10616.2,13014.1,4996.9,6617.3,14687.9,9360.8
test11,20867.3,18321.9,17864.0,17549.9,15240.2,25734.5,23602.6,27558.2,23409.6,22294.9,0.0,10517.3,17435.4,10184.8,18089.0,35496.9,9967.9,22589.2,6419.6,29692.0,28736.3,18576.7,3615.7,21118.3,33508.6,20954.7,16601.7,6454.6,18355.3,8467.4,6755.1,18915.7,25444.5,11493.6,30515.8
test12,9681.3,7135.9,13519.9,8728.6,5115.0,12033.7,7147.7,15724.0,11728.5,9768.6,10853.6,0.0,5518.7,16578.0,17454.3,21229.4,12178.3,6506.0,6630.2,13518.6,16121.7,11704.0,10556.0,8597.2,19923.3,8567.6,13802.4,4360.8,2687.0,4368.4,4317.4,10905.5,5613.3,12113.7,17780.8
test13,13139.3,10593.9,17146.4,11712.3,10889.3,13509.6,6814.9,14749.6,18314.3,13616.9,19939.4,5024.7,0.0,24793.2,22825.9,22688.3,20393.5,2536.4,16144.5,10571.7,15927.7,17002.6,20246.3,10921.5,15514.9,11552.7,18667.9,9072.2,3252.9,14472.7,8178.3,13830.7,5386.8,19591.7,17707.2
test14,20206.9,19099.9,14868.4,17652.8,16482.8,25873.6,24845.2,29563.9,23322.4,21666.8,10473.8,19860.7,25914.8,0.0,10965.7,35069.3,4618.0,26902.1,12611.5,31232.0,29961.6,18489.5,7577.4,23285.5,39426.0,20326.6,10825.9,13454.8,23442.2,16409.2,14923.4,18828.5,23307.2,7511.6,31620.7
test15,14169.7,17049.5,8477.3,13680.0,14614.1,18583.7,22982.8,21307.3,15474.9,16752.6,15602.3,17992.0,24052.4,11049.2,0.0,30368.5,7870.2,25039.7,11160.1,28418.4,23204.8,10417.0,13765.8,18844.0,33912.2,15377.2,4946.6,15660.2,21579.8,14540.5,17205.7,12381.8,21444.8,5586.1,24917.1
test16,15378.1,19301.4,18543.8,18467.1,21645.3,10299.9,14747.8,10234.5,12485.7,13600.1,39973.0,20805.0,22557.4,33537.0,24107.2,0.0,29137.3,19705.5,25706.5,14045.3,6896.5,18468.2,31606.9,15022.5,18878.6,15235.5,21856.3,25008.9,19150.4,25228.7,25019.5,16570.5,16344.5,28520.3,6781.6
